,date,lending_rate,borrowing_rate,utilization,total_liquidity,total_variable_debt
0,2024-11-01 01:00:00+00:00,4.959058769384667e-06,6.132163853381336e-06,0.89787534,1487680339501287.0,1419276099984065.0
1,2024-11-01 02:00:00+00:00,4.966749069266595e-06,6.136916762409212e-06,0.89860727,1487304845586992.0,1420037997649231.0
2,2024-11-01 03:00:00+00:00,4.95548241368273e-06,6.129952268925301e-06,0.8976049,1489953846843407.0,1420933523061667.0
3,2024-11-01 04:00:00+00:00,4.981234127649531e-06,6.145859118690073e-06,0.90060926,1486055846843407.0,1421907947866084.0
4,2024-11-01 05:00:00+00:00,4.98690562559988e-06,6.149356877534312e-06,0.90056093,1486075457558486.0,1421862469563879.0
5,2024-11-01 06:00:00+00:00,4.9929573811646045e-06,6.1530869582847665e-06,0.9010932,1486008457558486.0,1422600600147373.0
6,2024-11-01 07:00:00+00:00,4.999039414985316e-06,6.1568334246098326e-06,0.90171018,1485476602288657.0,1423047797937041.0
7,2024-11-01 08:00:00+00:00,4.999568915602709e-06,6.157159483329021e-06,0.9017628,1485404967077944.0,1423068377289789.0
8,2024-11-01 09:00:00+00:00,5.017064233498377e-06,6.16792315012254e-06,0.90343697,1485340469521815.0,1425507197510152.0
9,2024-11-01 10:00:00+00:00,5.0356551477607744e-06,6.17934031517109e-06,0.90531162,1482476255865151.0,1425707013609812.0
10,2024-11-01 11:00:00+00:00,5.0132426331517736e-06,6.165573586059396e-06,0.90313032,1482941181304876.0,1422902702451167.0
11,2024-11-01 12:00:00+00:00,5.043203349447507e-06,6.183969845971778e-06,0.9059212,1482928220409833.0,1427036069591787.0
12,2024-11-01 13:00:00+00:00,5.051201348080441e-06,6.188871471497927e-06,0.90674521,1482242215044360.0,1427645967291772.0
13,2024-11-01 14:00:00+00:00,5.083705288795434e-06,6.208751903841828e-06,0.90982771,1478513696143621.0,1428832918631109.0
14,2024-11-01 15:00:00+00:00,5.113954695036255e-06,6.227196374414474e-06,0.91265799,1478884569090113.0,1433364625162098.0
15,2024-11-01 16:00:00+00:00,5.074371297819481e-06,6.203049462763656e-06,0.90841188,1478885012867213.0,1427095050219203.0
16,2024-11-01 17:00:00+00:00,5.070327699315603e-06,6.2005774678180476e-06,0.90852819,1478633687267213.0,1427045633900849.0
17,2024-11-01 18:00:00+00:00,5.1794893308648666e-06,6.266969696096426e-06,0.91884867,1463012623382434.0,1427962820919693.0
18,2024-11-01 19:00:00+00:00,5.190198866154967e-06,6.273445399670211e-06,0.91985682,1462923831800852.0,1429364705808881.0
19,2024-11-01 20:00:00+00:00,5.195990401276868e-06,6.276944567077266e-06,0.92040168,1462213529202394.0,1429515242517681.0
20,2024-11-01 21:00:00+00:00,5.208311583393811e-06,6.290138746837204e-06,0.92076779,1462183068738940.0,1430032631806075.0
21,2024-11-01 22:00:00+00:00,5.690907248846498e-06,6.867937249100998e-06,0.92138073,1462137368724100.0,1430897549873181.0
22,2024-11-01 23:00:00+00:00,5.799492163738614e-06,6.997827287738074e-06,0.92154326,1461871470473730.0,1430898537145486.0
23,2024-11-02 00:00:00+00:00,4.532861662815921e-05,5.175643656176946e-05,0.9770279,1492596215597845.0,1542048178627623.0
24,2024-11-02 01:00:00+00:00,5.087964166062986e-06,6.211352052271364e-06,0.91017816,1478106275529416.0,1429147400343110.0
25,2024-11-02 02:00:00+00:00,5.086855249003797e-06,6.2106751361838164e-06,0.91007375,1478007673182614.0,1428912276596799.0
26,2024-11-02 03:00:00+00:00,5.089288502507461e-06,6.212160370138416e-06,0.91030299,1477965038033540.0,1429215768186968.0
27,2024-11-02 04:00:00+00:00,5.095189486495283e-06,6.215760798655874e-06,0.91083589,1478154130036033.0,1430190086465404.0
28,2024-11-02 05:00:00+00:00,5.102608016122169e-06,6.220284186198304e-06,0.91156661,1477152263786771.0,1430364319376094.0
29,2024-11-02 06:00:00+00:00,5.103430414258811e-06,6.220785434187915e-06,0.91164436,1477016338609197.0,1430360807541895.0
30,2024-11-02 07:00:00+00:00,5.089656511867323e-06,6.212384968511415e-06,0.91033594,1479014209530185.0,1430257063377992.0
31,2024-11-02 08:00:00+00:00,5.09019570762117e-06,6.21271402832881e-06,0.91031209,1478916193857098.0,1430145556459550.0
32,2024-11-02 09:00:00+00:00,5.0881546369676505e-06,6.211468313975833e-06,0.91019206,1478879305350208.0,1429941304997938.0
33,2024-11-02 10:00:00+00:00,5.086346936422505e-06,6.210364822342976e-06,0.91001069,1478822631341108.0,1429632346099848.0
34,2024-11-02 11:00:00+00:00,5.085089441578929e-06,6.20959708229468e-06,0.9099032,1479038642358280.0,1429677101645429.0
35,2024-11-02 12:00:00+00:00,5.0834599208697715e-06,6.208602067563779e-06,0.90973408,1479337253001941.0,1429708410652994.0
36,2024-11-02 13:00:00+00:00,5.08847393017892e-06,6.211663202760993e-06,0.91026077,1479350437181878.0,1430509120998155.0
37,2024-11-02 14:00:00+00:00,5.0927972824850855e-06,6.214301469845882e-06,0.91063377,1478803599177562.0,1430571510468101.0
38,2024-11-02 15:00:00+00:00,5.091623790497665e-06,6.21358547304587e-06,0.91049811,1478958966144822.0,1430521338844732.0
39,2024-11-02 16:00:00+00:00,5.090940736293005e-06,6.213168674966257e-06,0.91045315,1479001454283346.0,1430498723652603.0
40,2024-11-02 17:00:00+00:00,5.0844263738264406e-06,6.20919222040795e-06,0.90983536,1480008961327569.0,1430511064450433.0
41,2024-11-02 18:00:00+00:00,5.083992984933351e-06,6.20892758364344e-06,0.90979162,1480059317020666.0,1430504158801543.0
42,2024-11-02 19:00:00+00:00,5.13283170760478e-06,6.238678934667956e-06,0.91442371,1472574061730315.0,1430524349596797.0
43,2024-11-02 20:00:00+00:00,5.043155267319497e-06,6.183940366777916e-06,0.90590056,1472847471105629.0,1418229521784475.0
44,2024-11-02 21:00:00+00:00,5.018842783111616e-06,6.169016317837986e-06,0.90358639,1476664941619722.0,1418279737481813.0
45,2024-11-02 22:00:00+00:00,5.017649605979442e-06,6.168282964846811e-06,0.90346172,1476868443103891.0,1418285242504469.0
46,2024-11-02 23:00:00+00:00,5.018255207662028e-06,6.1686551918981434e-06,0.90351945,1476870443103891.0,1418383686263844.0
47,2024-11-03 00:00:00+00:00,5.032319474174642e-06,6.177293344494714e-06,0.90486311,1476351786336916.0,1419907580093732.0
48,2024-11-03 01:00:00+00:00,5.1415070620992505e-06,6.243948920571476e-06,0.91524052,1476152445750918.0,1435053814326494.0
49,2024-11-03 02:00:00+00:00,5.10273979720655e-06,6.220364508898006e-06,0.91167571,1476643717929998.0,1430247834950641.0
50,2024-11-03 03:00:00+00:00,5.092401637992172e-06,6.214060079724625e-06,0.9105875,1476766770412422.0,1428763858246322.0
51,2024-11-03 04:00:00+00:00,5.081067478236007e-06,6.207140909947967e-06,0.90951196,1478544837365907.0,1428800736517365.0
52,2024-11-03 05:00:00+00:00,5.075517773093113e-06,6.203750164463129e-06,0.90897969,1479577608076976.0,1428961932572781.0
53,2024-11-03 06:00:00+00:00,5.074939495340679e-06,6.2033967430928445e-06,0.90892413,1479477974424236.0,1428796985642474.0
54,2024-11-03 07:00:00+00:00,5.073355511201893e-06,6.202428569097603e-06,0.90877291,1479624964987133.0,1428715632525481.0
55,2024-11-03 08:00:00+00:00,5.073088200535024e-06,6.202265166675554e-06,0.90873071,1479667423152932.0,1428702061362466.0
56,2024-11-03 09:00:00+00:00,5.064449480676286e-06,6.196982145945728e-06,0.91058949,1480468055965908.0,1432190119163300.0
57,2024-11-03 10:00:00+00:00,5.075894617929584e-06,6.20398046686058e-06,0.90901286,1480058261522148.0,1429491528004151.0
58,2024-11-03 11:00:00+00:00,5.090110959753354e-06,6.212662309643614e-06,0.91039772,1478970360650630.0,1430560370378222.0
59,2024-11-03 12:00:00+00:00,5.091269759186285e-06,6.213369447457131e-06,0.9105412,1478997173115994.0,1430805907168900.0
60,2024-11-03 13:00:00+00:00,5.104283524341339e-06,6.221305358295565e-06,0.91175607,1477155726015076.0,1430932387197822.0
61,2024-11-03 14:00:00+00:00,5.104011537083426e-06,6.221139601601299e-06,0.91170253,1477273832784581.0,1430970364793090.0
62,2024-11-03 15:00:00+00:00,5.098881346970774e-06,6.2180122915917264e-06,0.91115927,1477572403633531.0,1430448858980330.0
63,2024-11-03 16:00:00+00:00,5.105850586165927e-06,6.222260283891224e-06,0.91183499,1477782146696128.0,1431647314478798.0
64,2024-11-03 17:00:00+00:00,5.1085909985730325e-06,6.223929865837447e-06,0.91211339,1477909191629096.0,1432183302017698.0
65,2024-11-03 18:00:00+00:00,5.107459817231125e-06,6.223240753798877e-06,0.91198816,1477974532242009.0,1432067126061923.0
66,2024-11-03 19:00:00+00:00,5.108211751302873e-06,6.22369883812148e-06,0.91248409,1477851565535750.0,1432696487341252.0
67,2024-11-03 20:00:00+00:00,5.119572568086511e-06,6.230615841182115e-06,0.91315448,1477587789794559.0,1433452613963694.0
68,2024-11-03 21:00:00+00:00,5.1208441582836074e-06,6.2313895677011935e-06,0.91327441,1477519877112358.0,1433578014937675.0
69,2024-11-03 22:00:00+00:00,5.122565519803939e-06,6.232436814270241e-06,0.91343743,1477519007112358.0,1433828773366949.0
70,2024-11-03 23:00:00+00:00,5.127661796971547e-06,6.235536269946613e-06,0.91392164,1477395738713803.0,1434439223628629.0
71,2024-11-04 00:00:00+00:00,5.1290599766319715e-06,6.236386346072008e-06,0.91405094,1477441257271233.0,1434680056811672.0
72,2024-11-04 01:00:00+00:00,5.153997374337086e-06,6.25152856242945e-06,0.91640903,1473984981997858.0,1435007231665630.0
73,2024-11-04 02:00:00+00:00,5.1533519761747555e-06,6.251137133110541e-06,0.91634514,1474110463703556.0,1435036268848067.0
74,2024-11-04 03:00:00+00:00,5.157836472092754e-06,6.253856441150132e-06,0.91677048,1474065493014030.0,1435631101391024.0
75,2024-11-04 04:00:00+00:00,5.159307019362606e-06,6.2547478940054395e-06,0.91690921,1473855592315175.0,1435652586622663.0
76,2024-11-04 05:00:00+00:00,5.159309876803444e-06,6.254749626076193e-06,0.91690864,1473859225917043.0,1435660324760059.0
77,2024-11-04 06:00:00+00:00,5.16295455253839e-06,6.256958498011999e-06,0.91725225,1473407322713137.0,1435763649653565.0
78,2024-11-04 07:00:00+00:00,5.166970786386445e-06,6.259391651659076e-06,0.91761734,1472906352145605.0,1435852366044894.0
79,2024-11-04 08:00:00+00:00,5.168066281257825e-06,6.260055170799611e-06,0.9177337,1472739567608364.0,1435879312368138.0
80,2024-11-04 09:00:00+00:00,5.1807775743927825e-06,6.267749008562774e-06,0.91893217,1470797571654421.0,1435868277138142.0
81,2024-11-04 10:00:00+00:00,5.180024452934006e-06,6.2672934256150724e-06,0.91886412,1470776424873794.0,1435759192719216.0
82,2024-11-04 11:00:00+00:00,5.183544742164387e-06,6.26942265672509e-06,0.91919206,1470256825448018.0,1435772358790428.0
83,2024-11-04 12:00:00+00:00,5.193220764460383e-06,6.2752714333029e-06,0.92010307,1469111019053714.0,1436064209763334.0
84,2024-11-04 13:00:00+00:00,5.191966169773526e-06,6.274513387563588e-06,0.91998437,1469312631276565.0,1436086601828055.0
85,2024-11-04 14:00:00+00:00,5.180332227881739e-06,6.267479610764669e-06,0.9188879,1470418829655494.0,1435500504749637.0
86,2024-11-04 15:00:00+00:00,5.575596065004567e-06,6.729954722618656e-06,0.92118066,1469830257042333.0,1438339206402863.0
87,2024-11-04 16:00:00+00:00,6.614932580542174e-06,7.971910630455665e-06,0.92271958,1454427114733755.0,1426407244407124.0
88,2024-11-04 17:00:00+00:00,6.156972522502124e-06,7.425148396592022e-06,0.92203826,1455887721140316.0,1426773817310160.0
89,2024-11-04 18:00:00+00:00,5.96128354665102e-06,7.191284618904383e-06,0.92174819,1455258460728687.0,1425781455075024.0
90,2024-11-04 19:00:00+00:00,5.614698621800614e-06,6.776750604323413e-06,0.92123236,1455947319387490.0,1425674649744883.0
91,2024-11-04 20:00:00+00:00,5.6943419541975656e-06,6.8720465177266455e-06,0.92224283,1456199320533404.0,1427388214460240.0
92,2024-11-04 21:00:00+00:00,5.822549578877874e-06,7.025403269628202e-06,0.92146524,1456271907390291.0,1426332511922537.0
93,2024-11-04 22:00:00+00:00,6.568209167659654e-06,7.916161523012418e-06,0.92263271,1455507786420982.0,1427339967854262.0
94,2024-11-04 23:00:00+00:00,6.182723514258335e-06,7.455912637661267e-06,0.92208607,1456072208124506.0,1427075572970264.0
95,2024-11-05 00:00:00+00:00,4.953954741252978e-05,5.626035991710482e-05,0.98260445,1489053516520446.0,1547624975087731.0
96,2024-11-05 01:00:00+00:00,5.330307628950752e-06,6.4362806477897366e-06,0.92080439,1456012024353847.0,1425201324279690.0
97,2024-11-05 02:00:00+00:00,5.351019399768257e-06,6.461086420002325e-06,0.92083523,1455939292574896.0,1425188381606710.0
98,2024-11-05 03:00:00+00:00,5.394091492795909e-06,6.51266741692716e-06,0.92089828,1455967163444802.0,1425315213421114.0
99,2024-11-05 04:00:00+00:00,5.188110425585614e-06,6.2721831131511385e-06,0.91962317,1456000991639834.0,1423499376069228.0
100,2024-11-05 05:00:00+00:00,1.0066265689978666e-05,1.2068610873508157e-05,0.92780357,1455918581191963.0,1435343266839272.0
101,2024-11-05 06:00:00+00:00,7.310903092567317e-06,8.801402739525927e-06,0.92374065,1455870652674438.0,1429399419083107.0
102,2024-11-05 07:00:00+00:00,7.692822726491853e-06,9.25586240920393e-06,0.92430414,1455938105911871.0,1430294518250251.0
103,2024-11-05 08:00:00+00:00,7.468866817944011e-06,8.989432022863323e-06,0.92397466,1455856181924684.0,1429752629516970.0
104,2024-11-05 09:00:00+00:00,8.383016683703527e-06,1.0075841425794211e-05,0.92532149,1456099010509816.0,1431950338851096.0
105,2024-11-05 10:00:00+00:00,7.989809377486627e-06,9.60890072856915e-06,0.92474017,1456992906783215.0,1431942648351615.0
106,2024-11-05 11:00:00+00:00,8.434210199245528e-06,1.0136594619646633e-05,0.92539596,1455605888630826.0,1431629322566922.0
107,2024-11-05 12:00:00+00:00,7.819781297792666e-06,9.40682058042444e-06,0.9244885,1455384088181290.0,1430119623848189.0
108,2024-11-05 13:00:00+00:00,7.1680200217709596e-06,8.631248181408849e-06,0.92352392,1455599227101811.0,1428926825170208.0
109,2024-11-05 14:00:00+00:00,5.872950276291961e-06,7.085674346437639e-06,0.92177295,1458515137462750.0,1429076610490862.0
110,2024-11-05 15:00:00+00:00,5.178430135795529e-06,6.266328872033093e-06,0.91821002,1460420509964330.0,1425639973983214.0
111,2024-11-05 16:00:00+00:00,5.1652688919387686e-06,6.258360708995736e-06,0.91745141,1462275413323252.0,1426241518850860.0
112,2024-11-05 17:00:00+00:00,1.0172594502119346e-05,1.2194160739120885e-05,0.92792379,1461281603754603.0,1440647078174888.0
113,2024-11-05 18:00:00+00:00,6.776977789228762e-06,8.165198198172166e-06,0.9229164,1462560972923605.0,1434525591690861.0
114,2024-11-05 19:00:00+00:00,6.725163891035954e-06,8.103404755026338e-06,0.92286183,1462638668382580.0,1434527865587638.0
115,2024-11-05 20:00:00+00:00,1.0425246012145677e-05,1.249232723464059e-05,0.9283118,1463407248246937.0,1443227862318111.0
116,2024-11-05 21:00:00+00:00,9.77692374727435e-06,1.172676628552028e-05,0.9273596,1463816552981716.0,1442232611283426.0
117,2024-11-05 22:00:00+00:00,9.405226660717182e-06,1.1287196180025984e-05,0.92681259,1464002051911551.0,1441619016934185.0
118,2024-11-05 23:00:00+00:00,9.374095737862872e-06,1.1250358839133584e-05,0.92676423,1464074734569991.0,1441633551882706.0
119,2024-11-06 00:00:00+00:00,4.25252726138031e-05,4.873244360790544e-05,0.97322272,1506441259353050.0,1550912153030694.0
120,2024-11-06 01:00:00+00:00,6.294249287721639e-06,7.589123017282462e-06,0.92228103,1466810423731881.0,1437659936760215.0
121,2024-11-06 02:00:00+00:00,6.6500511183776725e-06,8.013807984779416e-06,0.92276434,1466289599707441.0,1437899839794263.0
122,2024-11-06 03:00:00+00:00,8.387663846453363e-06,1.0081356761727874e-05,0.92532328,1463111230972856.0,1438723582957215.0
123,2024-11-06 04:00:00+00:00,5.486768423708842e-06,6.623629995982219e-06,0.92101298,1464663790628525.0,1433859810530737.0
124,2024-11-06 05:00:00+00:00,6.181161665218594e-06,7.454046792761356e-06,0.92204381,1464040126007769.0,1434803544289718.0
125,2024-11-06 06:00:00+00:00,6.658326587289513e-06,8.023680199436107e-06,0.92251135,1463708573496433.0,1435194240713531.0
126,2024-11-06 07:00:00+00:00,6.946847927188626e-06,8.367718834083101e-06,0.92317677,1463218767879749.0,1435727080489980.0
127,2024-11-06 08:00:00+00:00,1.2271373889627282e-05,1.4664377491235579e-05,0.93100221,1461194187988917.0,1445307444722014.0
128,2024-11-06 09:00:00+00:00,1.0216903639190253e-05,1.2246468089025058e-05,0.92799462,1464010115611037.0,1443549258196048.0
129,2024-11-06 10:00:00+00:00,1.0525246636040889e-05,1.2610282006440347e-05,0.92849423,1463303216106534.0,1443641779901869.0
130,2024-11-06 11:00:00+00:00,8.216393552918953e-06,9.878039938440026e-06,0.92504782,1468858809088569.0,1443754865765329.0
131,2024-11-06 12:00:00+00:00,8.738500155676727e-06,1.0497516642094404e-05,0.92581463,1471676071252831.0,1447503606698719.0
132,2024-11-06 13:00:00+00:00,9.95853766044972e-06,1.1941368929148173e-05,0.926248,1470263014253402.0,1446850565794001.0
133,2024-11-06 14:00:00+00:00,8.052895430366805e-06,9.683853219046227e-06,0.9247681,1472392932006951.0,1446658150019037.0
134,2024-11-06 15:00:00+00:00,5.150842721379243e-06,6.249615055269336e-06,0.91597643,1470347651413568.0,1431852058138761.0
135,2024-11-06 16:00:00+00:00,5.112636499468296e-06,6.226393747856889e-06,0.91244633,1465693664107065.0,1422423714854282.0
136,2024-11-06 17:00:00+00:00,5.112005475276904e-06,6.226009491483321e-06,0.9123859,1465706549456600.0,1422356070640511.0
137,2024-11-06 18:00:00+00:00,5.13915784535229e-06,6.24252228971031e-06,0.91495975,1462191577953645.0,1422919861974327.0
138,2024-11-06 19:00:00+00:00,5.1675643276074075e-06,6.259751156331121e-06,0.92106676,1461354563132244.0,1431088886955510.0
139,2024-11-06 20:00:00+00:00,2.1105265258207284e-05,2.490074477345115e-05,0.94369077,1478813430774065.0,1480652151788557.0
140,2024-11-06 21:00:00+00:00,1.4930000227316512e-05,1.7772074795101843e-05,0.93482359,1493110175126629.0,1480934841349083.0
141,2024-11-06 22:00:00+00:00,5.07807163297329e-06,6.205310745753305e-06,0.90915694,1504349026037915.0,1452847177739118.0
142,2024-11-06 23:00:00+00:00,8.612182762582842e-06,1.0347729475781974e-05,0.92629848,1472786077684812.0,1449410188872139.0
143,2024-11-07 00:00:00+00:00,4.026217470077174e-05,4.627595314435693e-05,0.97015127,1513576862998592.0,1553603551507757.0
144,2024-11-07 01:00:00+00:00,5.088885388136138e-06,6.211914337641779e-06,0.91028911,1473710574928565.0,1426734208424960.0
145,2024-11-07 02:00:00+00:00,5.134005515120042e-06,6.239392243618665e-06,0.91446084,1472356731944884.0,1431653100762637.0
146,2024-11-07 03:00:00+00:00,5.175432504144255e-06,6.264514918339838e-06,0.91837601,1470334287705251.0,1435567846678554.0
147,2024-11-07 04:00:00+00:00,1.7024873559583307e-05,2.020423894699184e-05,0.93804355,1471143286192359.0,1465268787684476.0
148,2024-11-07 05:00:00+00:00,1.3159258620924759e-05,1.57048785936773e-05,0.93226311,1478185411941096.0,1463357695920773.0
149,2024-11-07 06:00:00+00:00,5.145363433859417e-06,6.246290109117743e-06,0.91557585,1504861539537962.0,1463128025196749.0
150,2024-11-07 07:00:00+00:00,5.118904606677795e-06,6.230209367141753e-06,0.91302238,1506503545893865.0,1460793772656307.0
151,2024-11-07 08:00:00+00:00,5.137172504798033e-06,6.241316379109503e-06,0.91475099,1503502726585905.0,1460661379666395.0
152,2024-11-07 09:00:00+00:00,1.3601134732435597e-05,1.6221716191311344e-05,0.93290136,1482207484546334.0,1468094716118446.0
153,2024-11-07 10:00:00+00:00,8.627366233926942e-06,1.0365736994297687e-05,0.92562188,1486098715121332.0,1460928204078975.0
154,2024-11-07 11:00:00+00:00,6.947283080985192e-06,8.368237496194652e-06,0.92314837,1489943366325514.0,1460816147587182.0
155,2024-11-07 12:00:00+00:00,7.160216177637939e-06,8.621952762412321e-06,0.92345613,1489607345362525.0,1460976652866608.0
156,2024-11-07 13:00:00+00:00,6.2552676660043295e-06,7.542567037057925e-06,0.9221151,1490697756804443.0,1459994910898091.0
157,2024-11-07 14:00:00+00:00,1.0535108553600077e-05,1.2621912667435157e-05,0.92862731,1483027160656896.0,1462598732972881.0
158,2024-11-07 15:00:00+00:00,5.170122030600538e-06,6.261300106921882e-06,0.91779369,1483776079809133.0,1447233012549813.0
159,2024-11-07 16:00:00+00:00,8.485655672196512e-06,1.0197637545576098e-05,0.92544186,1485756794947414.0,1460428566857722.0
160,2024-11-07 17:00:00+00:00,9.53430337463419e-06,1.1439897151165437e-05,0.92695384,1484882267222874.0,1461879909440575.0
161,2024-11-07 18:00:00+00:00,9.565807234657488e-06,1.1477158200733094e-05,0.92699692,1486511156781360.0,1463470817958620.0
162,2024-11-07 19:00:00+00:00,4.877283941817456e-06,6.081394025773196e-06,0.88984844,1506994218366997.0,1426489002090876.0
163,2024-11-07 20:00:00+00:00,5.021527388122112e-06,6.170666016656368e-06,0.90372607,1493229800695033.0,1434972192090718.0
164,2024-11-07 21:00:00+00:00,5.030105451428625e-06,6.175934311878265e-06,0.90455963,1493058699570349.0,1436071042993916.0
165,2024-11-07 22:00:00+00:00,4.9932141133198275e-06,6.153245148596587e-06,0.90102613,1494565442173785.0,1432160519910795.0
166,2024-11-07 23:00:00+00:00,5.02423605199797e-06,6.172330052863288e-06,0.90400214,1494965442173785.0,1436979464865422.0
167,2024-11-08 00:00:00+00:00,4.404946278585276e-05,5.037917330690042e-05,0.97515345,1538587498609523.0,1585911303641364.0
168,2024-11-08 01:00:00+00:00,5.084186370898396e-06,6.209045670749198e-06,0.90971248,1501270128770238.0,1451308210405882.0
169,2024-11-08 02:00:00+00:00,5.105754286556575e-06,6.222201605709217e-06,0.91176025,1502035785738112.0,1455089803504201.0
170,2024-11-08 03:00:00+00:00,5.1283768567284236e-06,6.235971032006858e-06,0.913917,1500839536938449.0,1457245033666800.0
171,2024-11-08 04:00:00+00:00,5.129445929048747e-06,6.2366209800122684e-06,0.91405116,1500833870818903.0,1457449056068899.0
172,2024-11-08 05:00:00+00:00,5.163176306391901e-06,6.257092867755692e-06,0.9171927,1500693749824895.0,1462045999115235.0
173,2024-11-08 06:00:00+00:00,5.174527502134369e-06,6.26396717218973e-06,0.9182618,1500861850266554.0,1463813653955510.0
174,2024-11-08 07:00:00+00:00,5.183307167657878e-06,6.269278983608083e-06,0.91908875,1500731104001407.0,1464943541847709.0
175,2024-11-08 08:00:00+00:00,6.290845247701325e-06,7.5850577691147366e-06,0.9221515,1498541483388603.0,1467530240673551.0
176,2024-11-08 09:00:00+00:00,8.014752732795162e-06,9.638537586986183e-06,0.92470011,1498796973355971.0,1471597200480856.0
177,2024-11-08 10:00:00+00:00,9.201541159403683e-06,1.1046113092632516e-05,0.92644616,1498602881628813.0,1474047992309194.0
178,2024-11-08 11:00:00+00:00,9.213378128466243e-06,1.1060127342455736e-05,0.92646277,1498531539937391.0,1474023334119296.0
179,2024-11-08 12:00:00+00:00,5.142346325161495e-06,6.244458508693963e-06,0.91521671,1521126990511652.0,1477859866293902.0
180,2024-11-08 13:00:00+00:00,5.110693221737012e-06,6.2252103308194215e-06,0.91228691,1526047312617692.0,1477902036567461.0
181,2024-11-08 14:00:00+00:00,5.115125844791195e-06,6.227909380536757e-06,0.9126406,1526824365871079.0,1479161053953380.0
182,2024-11-08 15:00:00+00:00,5.864436389074322e-06,7.0754937563299135e-06,0.92150394,1526743028103398.0,1492628017037304.0
183,2024-11-08 16:00:00+00:00,7.516771910220363e-06,9.046437510791231e-06,0.9239483,1524467442955059.0,1494269332878623.0
184,2024-11-08 17:00:00+00:00,5.2217568698683755e-06,6.306247806055223e-06,0.92049622,1531788377966137.0,1495754995219271.0
185,2024-11-08 18:00:00+00:00,5.4846173140111545e-06,6.621054812274723e-06,0.92093746,1530863860984664.0,1495588707768153.0
186,2024-11-08 19:00:00+00:00,5.855984692022251e-06,7.0653872731912414e-06,0.92148773,1530960731958092.0,1496531065866666.0
187,2024-11-08 20:00:00+00:00,5.115480284819152e-06,6.228125150608092e-06,0.91267015,1533372944017191.0,1485244221169975.0
188,2024-11-08 21:00:00+00:00,5.138746095301975e-06,6.242272208818589e-06,0.91487292,1531919927462081.0,1487301983849089.0
189,2024-11-08 22:00:00+00:00,5.1446579823037285e-06,6.2458618977602976e-06,0.91542805,1532077837329947.0,1488303511387838.0
190,2024-11-08 23:00:00+00:00,5.116275892236124e-06,6.228609459962757e-06,0.9127603,1536278839846897.0,1488062944346177.0
191,2024-11-09 00:00:00+00:00,3.8971237831273843e-05,4.486849421845902e-05,0.96824723,1582122003859289.0,1617732296777698.0
192,2024-11-09 01:00:00+00:00,5.00158297272215e-06,6.158399552467278e-06,0.90182859,1554606531129014.0,1487859263752044.0
193,2024-11-09 02:00:00+00:00,5.012025268876867e-06,6.164824948373441e-06,0.90283169,1554609584775027.0,1489432229593792.0
194,2024-11-09 03:00:00+00:00,5.0083473464582715e-06,6.162562598544296e-06,0.90240293,1555005273436259.0,1489131099445716.0
195,2024-11-09 04:00:00+00:00,5.015599000672817e-06,6.167022413856588e-06,0.9031673,1553831069648249.0,1489269262217289.0
196,2024-11-09 05:00:00+00:00,5.015967459480696e-06,6.167248932363735e-06,0.90329911,1553815513762034.0,1489468401099557.0
197,2024-11-09 06:00:00+00:00,5.008235668868649e-06,6.162493890852329e-06,0.90246263,1556555839592900.0,1490650818273683.0
198,2024-11-09 07:00:00+00:00,5.019438043909173e-06,6.1693821456646325e-06,0.90355482,1555686254236411.0,1491574628834668.0
199,2024-11-09 08:00:00+00:00,5.015813882886605e-06,6.16715451863961e-06,0.90318576,1556554520510605.0,1491793972429123.0
200,2024-11-09 09:00:00+00:00,5.0009908367170755e-06,6.1580349960793065e-06,0.90179146,1559299385734675.0,1492108603166018.0
201,2024-11-09 10:00:00+00:00,5.011830192960715e-06,6.164704974858516e-06,0.90280498,1559444944272862.0,1493828465996107.0
202,2024-11-09 11:00:00+00:00,5.016421124481371e-06,6.167527821905372e-06,0.90334041,1559406079616841.0,1494638780779837.0
203,2024-11-09 12:00:00+00:00,5.0040952234500525e-06,6.159946013011701e-06,0.90206457,1559705522657197.0,1492928479426172.0
204,2024-11-09 13:00:00+00:00,5.003439192900738e-06,6.159542219214713e-06,0.90200116,1559954858595706.0,1493061469450092.0
205,2024-11-09 14:00:00+00:00,5.026433460706822e-06,6.173679675870363e-06,0.90424634,1554289156768255.0,1491451595974947.0
206,2024-11-09 15:00:00+00:00,5.015055837736071e-06,6.166688476803565e-06,0.90308788,1556709267915238.0,1491846167915420.0
207,2024-11-09 16:00:00+00:00,5.009298002636791e-06,6.163147442188829e-06,0.90271929,1557339019960124.0,1491849973628872.0
208,2024-11-09 17:00:00+00:00,4.998017291512635e-06,6.156203967113469e-06,0.90149214,1557855389135545.0,1490413831274642.0
209,2024-11-09 18:00:00+00:00,5.001967554231397e-06,6.158636313616822e-06,0.90186118,1557932384521805.0,1491067049630079.0
210,2024-11-09 19:00:00+00:00,5.00371894734987e-06,6.15971441429775e-06,0.90205617,1558889001029217.0,1492242973668510.0
211,2024-11-09 20:00:00+00:00,5.029724983753761e-06,6.175700739458692e-06,0.9046294,1557352127359270.0,1494873092120663.0
212,2024-11-09 21:00:00+00:00,5.043184553498585e-06,6.183958322176126e-06,0.90579242,1558873142929105.0,1498071731797355.0
